numero,valor,achou
5867,180.35, 
5868,2585.5, 
5869,140, 
59657,2100, 
59658,4500, 
59659,1400, 
59660,6363, 
59661,140, 
59662,2400, 
59663,2100, 
59664,2100, 
59665,2400, 
59666,600, 
59667,920, 
59668,2400, 
59669,600, 
59670,600, 
59671,495, 
59672,600, 
59673,600, 
59674,1200, 
59675,772.6, 
59676,426, 
59677,712, 
59678,453.7, 
59679,3000, 
59680,1400, 
59681,700, 
59682,700, 
59683,410, 
59684,3292.2, 
59685,5600, 
59686,772.6, 
59687,1400, 
59688,700, 
59689,810.9, 
59690,222, 
59691,252, 
59692,252, 
59693,1157, 
59695,1459.61, 
59696,600, 
59697,772.6, 
59698,225, 
59699,225, 
59700,225, 
59701,225, 
59702,150, 
59703,252, 
59704,252, 
59705,252, 
59706,252, 
59707,192, 
59708,192, 
59709,224.7, 
59710,224.7, 
59711,224.7, 
59712,192, 
59713,224.7, 
59714,224.7, 
59715,189.52, 
59716,578, 
59717,578, 
59718,578, 
59719,3000, 
59720,222, 
59721,222, 
59722,302.17, 
59723,216, 
59724,216, 
59725,216, 
59726,216, 
59727,540, 
59728,300, 
59729,360, 
59730,216, 
59731,216, 
59732,216, 
59733,600, 
59734,360, 
59735,216, 
59736,216, 
59737,216, 
59738,216, 
59739,216, 
59740,216, 
59741,216, 
59742,216, 
59743,600, 
59744,216, 
59745,216, 
59746,216, 
59747,216, 
59748,216, 
59749,360, 
59750,216, 
59751,216, 
59752,420, 
59753,570, 
59754,7000, 
59755,5946.41, 
59756,700, 
59757,7000, 
59760,540, 
59761,1400, 
59766,222, 
59772,700, 
59773,1289.99, 
71208,30.1, 
71209,48, 
71210,317.64, 
71211,140, 
71212,1199.48, 
71213,832.91, 
71214,212.24, 
71215,100, 
71216,140, 
71217,28.8, 
71218,140, 
71219,88, 
71220,316, 
71221,1221.08, 
71222,334.4, 
71223,70, 
71224,26.9, 
71225,417.87, 
71226,31.24, 
71227,58.92, 
71228,1122, 
71229,140, 
71230,68.93, 
71231,35, 
71232,140, 
71233,280, 
71234,304.69, 
71235,13.96, 
71236,64, 
71237,140, 
71238,96.03, 
71239,746.38, 
71240,723.2, 
71241,83, 
71242,1167.77, 
71243,350, 
71244,105, 
71245,140, 
71246,105, 
71247,257, 
71248,63, 
71250,151.8, 
71251,17, 
71252,106.12, 
71253,315.72, 
71254,99.08, 
71255,350.55, 
71256,213.05, 
71257,450, 
71258,330, 
71259,140, 
71260,700, 
71261,212, 
71262,28, 
71263,220, 
71264,374.48, 
71265,135, 
71266,176.12, 
71267,140, 
71268,770, 
71269,491.76, 
71270,22, 
71271,314.88, 
71272,80, 
71273,244.44, 
71274,195.91, 
71275,139.59, 
71276,42, 
71277,106.56, 
71278,106.57, 
71279,70, 
71280,382.24, 
71281,406.06, 
71282,140, 
71283,188.4, 
71284,140, 
71285,89.37, 
71286,70, 
71287,26.7, 
71288,420, 
71289,47.93, 
71290,280, 
71291,286.12, 
71292,4.1, 
71293,43.95, 
71294,93, 
71295,105, 
71296,256, 
71297,78, 
71298,140, 
71299,140, 
71300,140, 
71301,140, 
71302,140, 
71303,145.06, 
71304,613.32, 
71305,180.02, 
71306,119.99, 
71307,140, 
71308,140, 
71309,210, 
71310,1400, 
71311,120, 
71312,28, 
71313,70, 
71314,320.5, 
71315,140, 
71316,484.06, 
71317,140, 
71318,140, 
71319,140, 
71320,26.93, 
71321,140, 
71322,140, 
71323,42, 
71324,140, 
71325,760.8, 
71326,140, 
71327,140, 
71328,165, 
71329,138, 
71330,140, 
71331,176.12, 
71332,140, 
71333,118.57, 
71334,140, 
71335,140, 
71336,28, 
71337,210, 
71338,140, 
71339,140, 
71340,70, 
71341,288.96, 
71342,140, 
71343,412.39, 
71344,206, 
71345,42, 
71346,36, 
71347,1400, 
71348,140, 
71349,250, 
71350,70, 
71351,305.29, 
71352,194.38, 
71353,599.84, 
71354,106, 
71355,396.97, 
71356,100, 
71357,49, 
71358,181.5, 
71359,140, 
71360,14, 
71361,16.8, 
71362,56, 
71363,134.64, 
71364,774.53, 
71365,36, 
71366,70, 
71367,323.45, 
71368,140, 
71369,140, 
71370,36, 
71371,140, 
71372,140, 
71373,311.83, 
71374,140, 
71375,140, 
71376,140, 
71377,62, 
71378,140, 
71379,140, 
71380,763.6, 
71381,140, 
71382,299.78, 
71383,140, 
71384,140, 
71385,140, 
71386,140, 
71387,26.93, 
71388,45.65, 
71389,46.12, 
71390,171.72, 
71391,140, 
71392,140, 
71393,35, 
71394,140, 
71395,330.96, 
71396,140, 
71397,144.48, 
71398,420, 
71399,70, 
71400,420, 
71401,140, 
71402,232.24, 
71403,36, 
71404,140, 
71405,137.2, 
71406,736.12, 
71407,21, 
71408,422.24, 
71409,49, 
71410,140, 
71411,696.16, 
71412,21.18, 
71413,112, 
71414,140, 
71415,140, 
71416,140, 
71417,36, 
71418,60, 
71419,140, 
71420,140, 
71421,140, 
71422,135.8, 
71423,140, 
71424,700, 
71425,700, 
71426,140, 
71427,140, 
71428,140, 
71429,140, 
71430,168, 
71431,21, 
71432,176, 
71433,12.87, 
71434,49, 
71435,140, 
71436,222.2, 
71437,140, 
71438,280, 
71439,52, 
71440,140, 
71441,140, 
71442,449.14, 
71443,25.98, 
71444,28, 
71445,292, 
71446,70.19, 
71447,105, 
71448,140, 
71449,5.9, 
71450,28.75, 
71451,594.88, 
71452,40, 
71453,316.48, 
71454,276, 
71455,78, 
71456,92.24, 
71457,140, 
71458,76.76, 
71459,25, 
71460,35, 
71461,21, 
71463,21.96, 
71464,63.54, 
71465,21.18, 
71466,233.8, 
71467,326.07, 
71468,540.8, 
71469,771.75, 
71470,22.46, 
71471,22.84, 
71472,38, 
71473,60, 
71474,36, 
71475,50, 
71476,140.12, 
71477,15, 
71478,33, 
71479,200, 
71480,70, 
71481,640.26, 
71482,19, 
71483,48, 
71484,55.08, 
71485,48.83, 
71486,63, 
71487,62.96, 
71488,21, 
71489,48, 
71490,138.36, 
71491,150, 
71492,17.6, 
71493,148.5, 
71494,70.8, 
71495,100, 
71496,17, 
71497,5.5, 
71498,665, 
71499,374, 
71500,665, 
71501,47.99, 
71502,665, 
71503,21, 
71504,665, 
71505,124.89, 
71506,372, 
71507,50.33, 
71508,24.27, 
71509,38.88, 
71510,120, 
71511,19.98, 
71512,163, 
71513,37, 
71514,46.12, 
71515,98.57, 
71516,350, 
71517,122.12, 
71518,65.26, 
71519,77.97, 
71520,302.33, 
71521,46.12, 
71522,77, 
71523,1488, 
71524,50.5, 
71525,67.09, 
71526,23.42, 
71527,275.04, 
71528,138, 
71529,92, 
71592,68, 
490821,60, 
490823,18.99, 
490824,275.31, 
490825,182.65, 
490826,1311.82, 
490827,177.06, 
490828,248.36, 
490829,385, 
490830,416, 
490831,136.95, 
490832,140, 
490833,140, 
490834,808.2, 
490835,139, 
490836,98, 
490837,140, 
490838,27, 
490839,28, 
490840,209.21, 
490841,295.96, 
490843,272, 
490844,135, 
490845,140, 
490846,700, 
490847,144.41, 
490848,49, 
490849,2075.33, 
490850,244.3, 
490851,1400, 
490852,753, 
490853,873.99, 
490854,354, 
490855,1872, 
490856,140, 
490857,176.12, 
490858,70, 
490859,29.5, 
490860,218, 
490861,588, 
490862,384, 
490863,70, 
490864,140, 
490866,140, 
490868,805, 
490870,144.66, 
490871,115.04, 
490872,72.5, 
490873,140, 
490874,491.51, 
490875,1850, 
490876,140, 
490877,140, 
490878,472, 
490879,653.9, 
490880,135.8, 
490881,195.04, 
490882,140, 
490883,235, 
490884,140, 
490885,140, 
490886,176, 
490887,15, 
490888,197.1, 
490889,210, 
490890,716.36, 
490891,140, 
490892,350, 
490893,165.62, 
490894,195, 
490895,850.5, 
490896,140, 
490897,750.64, 
490898,631.5, 
490899,283.04, 
490900,253.52, 
490901,212.24, 
490902,140, 
490903,172.06, 
490904,71.12, 
490905,75, 
490906,140, 
490907,577.72, 
490908,140, 
490909,223.74, 
490910,700, 
490911,140, 
490912,140, 
490913,140, 
490914,786.03, 
490915,140, 
490916,200, 
490917,700, 
490918,140, 
490919,140, 
490920,140, 
490921,207.15, 
490922,195, 
490923,929.29, 
490924,107.4, 
490925,140, 
490926,175, 
490927,104, 
490929,2.8, 
490930,28.5, 
490931,693.7, 
490932,176.12, 
490933,290, 
490934,2616.98, 
490935,89.75, 
490937,648, 
490938,350, 
490939,140, 
490940,140, 
490941,140, 
490943,879.6, 
490945,718.25, 
490946,140, 
490947,100, 
490948,126.5, 
490949,28, 
490950,247.74, 
490951,333.3, 
490952,168.89, 
490953,44, 
490954,212.74, 
490955,3500, 
490956,2100, 
490957,101.6, 
490958,467.13, 
490959,700, 
490960,2520, 
490961,118.32, 
490962,141.12, 
490963,75.02, 
490964,120.89, 
490965,2128, 
490966,575.74, 
490967,35, 
490968,111, 
490969,280, 
490970,739.71, 
490971,150, 
490972,137, 
490973,117, 
490974,511.88, 
490975,224.7, 
490976,160.46, 
490977,79.91, 
490978,84.4, 
490979,488, 
490980,749.76, 
490981,401.92, 
490982,216, 
490983,5795.22, 
490984,80.65, 
490985,14.05, 
490986,315, 
490987,1776.8, 
491016,408, 
491018,186.04, 
491020,140, 
491027,81, 
491033,174.8, 
555917,12, 
555928,3.48, 
555932,83.02, 
555937,5, 
555938,41.51, 
555940,18, 
555941,188, 
555945,0, 
555961,140, 
555963,140, 
555967,80, 
555971,35, 
555980,140, 
555982,0, 
555994,243, 
555996,140, 
556009,70, 
556012,70, 
556026,63, 
556027,14, 
556035,140, 
556036,140, 
556046,29.5, 
556048,140, 
556050,140, 
556055,0, 
556057,140, 
556059,0, 
556061,140, 
556067,140, 
556077,140, 
556080,10, 
556083,17, 
556085,1199.4, 
556095,55.5, 
556096,140, 
556097,59, 
556105,140, 
556129,7, 
556131,0, 
556138,500, 
556139,90, 
556148,14, 
556149,140, 
556151,140, 
556156,166.93, 
556157,26.93, 
556170,171.72, 
556172,98, 
556173,20.5, 
556193,0, 
556233,0, 
556236,23.2, 
556246,4, 
556249,6.96, 
556254,6.4, 
556260,2, 
556263,44, 
556268,2.2, 
556270,3.69, 
556274,0, 
556275,66.28, 
556283,16, 
556297,5.97, 
556308,63, 
704578,0, 
704593,0, 
704766,0, 
